DATE,IDPCPI
1929-01-01,499
1930-01-01,488
1931-01-01,366
1932-01-01,268
1933-01-01,228
1934-01-01,389
1935-01-01,394
1936-01-01,466
1937-01-01,421
1938-01-01,421
1939-01-01,431
1940-01-01,459
1941-01-01,594
1942-01-01,919
1943-01-01,1040
1944-01-01,1110
1945-01-01,1144
1946-01-01,1203
1947-01-01,1273
1948-01-01,1352
1949-01-01,1297
1950-01-01,1352.0
1951-01-01,1532.0
1952-01-01,1693.0
1953-01-01,1596.0
1954-01-01,1612.0
1955-01-01,1651.0
1956-01-01,1792.0
1957-01-01,1857.0
1958-01-01,1882.0
1959-01-01,1959.0
1960-01-01,1961.0
1961-01-01,2035.0
1962-01-01,2150.0
1963-01-01,2230.0
1964-01-01,2316.0
1965-01-01,2615.0
1966-01-01,2638.0
1967-01-01,2808.0
1968-01-01,2971.0
1969-01-01,3382.0
1970-01-01,3691.0
1971-01-01,3918.0
1972-01-01,4329.0
1973-01-01,4885.0
1974-01-01,5566.0
1975-01-01,5850.0
1976-01-01,6343.0
1977-01-01,6726.0
1978-01-01,7497.0
1979-01-01,8009.0
1980-01-01,8856.0
1981-01-01,9600.0
1982-01-01,9961.0
1983-01-01,10795.0
1984-01-01,11399.0
1985-01-01,12004.0
1986-01-01,12297.0
1987-01-01,12918.0
1988-01-01,13966.0
1989-01-01,15232.0
1990-01-01,16152.0
1991-01-01,16509.0
1992-01-01,17640.0
1993-01-01,18688.0
1994-01-01,19368.0
1995-01-01,20252.0
1996-01-01,21058.0
1997-01-01,21506.0
1998-01-01,22587
1999-01-01,23614
2000-01-01,25089
2001-01-01,25743
2002-01-01,26196
2003-01-01,26641
2004-01-01,28202
2005-01-01,29239
2006-01-01,31322
2007-01-01,32554
2008-01-01,32646
2009-01-01,31142
2010-01-01,31921
2011-01-01,33503
2012-01-01,35187
2013-01-01,36167
2014-01-01,37792
2015-01-01,39780
2016-01-01,40508
2017-01-01,41826
